id,order_id,product_id,quantity,unit_price,line_total
item_1,order_1,prod_9,1,13671.04,13671.04
item_2,order_1,prod_4,5,23424.49,117122.45
item_3,order_2,prod_11,3,3744.19,11232.57
item_4,order_2,prod_7,5,14292.34,71461.7
item_5,order_3,prod_9,2,13671.04,27342.08
item_6,order_3,prod_2,3,11701.0,35103.0
item_7,order_3,prod_1,2,16313.77,32627.54
item_8,order_3,prod_11,4,3744.19,14976.76
item_9,order_4,prod_3,2,23259.95,46519.9
item_10,order_5,prod_5,1,727.23,727.23
item_11,order_5,prod_2,3,11701.0,35103.0
item_12,order_5,prod_10,2,12893.18,25786.36
item_13,order_5,prod_12,2,9049.72,18099.44
item_14,order_6,prod_8,2,2948.54,5897.08
item_15,order_6,prod_6,4,15717.4,62869.6
item_16,order_7,prod_9,1,13671.04,13671.04
item_17,order_7,prod_6,4,15717.4,62869.6
item_18,order_8,prod_12,1,9049.72,9049.72
item_19,order_8,prod_10,2,12893.18,25786.36
item_20,order_8,prod_8,4,2948.54,11794.16
item_21,order_8,prod_19,3,24603.41,73810.23
item_22,order_9,prod_18,3,7910.67,23732.01
item_23,order_9,prod_11,2,3744.19,7488.38
item_24,order_9,prod_1,5,16313.77,81568.85
item_25,order_9,prod_4,3,23424.49,70273.47
item_26,order_10,prod_14,1,6483.97,6483.97
item_27,order_10,prod_20,4,20272.95,81091.8
item_28,order_10,prod_17,5,13807.84,69039.2
item_29,order_11,prod_17,5,13807.84,69039.2
item_30,order_12,prod_20,3,20272.95,60818.85
item_31,order_12,prod_11,5,3744.19,18720.95
item_32,order_12,prod_4,3,23424.49,70273.47
item_33,order_13,prod_7,4,14292.34,57169.36
item_34,order_13,prod_14,2,6483.97,12967.94
item_35,order_14,prod_10,3,12893.18,38679.54
item_36,order_15,prod_15,2,7481.19,14962.38
item_37,order_15,prod_21,5,13458.05,67290.25
item_38,order_15,prod_20,4,20272.95,81091.8
item_39,order_16,prod_3,2,23259.95,46519.9
item_40,order_16,prod_8,2,2948.54,5897.08
item_41,order_16,prod_10,2,12893.18,25786.36
item_42,order_17,prod_15,4,7481.19,29924.76
item_43,order_18,prod_8,4,2948.54,11794.16
item_44,order_18,prod_5,2,727.23,1454.46
item_45,order_18,prod_1,2,16313.77,32627.54
item_46,order_18,prod_4,5,23424.49,117122.45
item_47,order_19,prod_15,2,7481.19,14962.38
item_48,order_20,prod_15,4,7481.19,29924.76
item_49,order_20,prod_20,5,20272.95,101364.75
item_50,order_20,prod_17,4,13807.84,55231.36
item_51,order_21,prod_21,5,13458.05,67290.25
item_52,order_21,prod_9,4,13671.04,54684.16
item_53,order_22,prod_8,3,2948.54,8845.62
item_54,order_22,prod_9,5,13671.04,68355.2
item_55,order_22,prod_11,1,3744.19,3744.19
item_56,order_23,prod_7,4,14292.34,57169.36
item_57,order_23,prod_3,4,23259.95,93039.8
item_58,order_24,prod_7,4,14292.34,57169.36
item_59,order_25,prod_16,4,11234.52,44938.08
item_60,order_25,prod_1,4,16313.77,65255.08
item_61,order_25,prod_12,5,9049.72,45248.6
item_62,order_25,prod_10,5,12893.18,64465.9
item_63,order_26,prod_14,4,6483.97,25935.88
item_64,order_26,prod_16,3,11234.52,33703.56
item_65,order_26,prod_1,4,16313.77,65255.08
item_66,order_27,prod_13,5,2184.39,10921.95
item_67,order_28,prod_5,3,727.23,2181.69
item_68,order_28,prod_15,4,7481.19,29924.76
item_69,order_28,prod_6,3,15717.4,47152.2
item_70,order_28,prod_2,2,11701.0,23402.0
item_71,order_29,prod_14,4,6483.97,25935.88
item_72,order_29,prod_9,1,13671.04,13671.04
item_73,order_29,prod_3,5,23259.95,116299.75
item_74,order_30,prod_21,1,13458.05,13458.05
item_75,order_31,prod_20,2,20272.95,40545.9
item_76,order_32,prod_19,2,24603.41,49206.82
item_77,order_33,prod_6,3,15717.4,47152.2
item_78,order_34,prod_13,1,2184.39,2184.39
item_79,order_34,prod_7,3,14292.34,42877.02
item_80,order_34,prod_3,5,23259.95,116299.75
item_81,order_34,prod_8,1,2948.54,2948.54
item_82,order_35,prod_3,1,23259.95,23259.95
item_83,order_35,prod_17,4,13807.84,55231.36
item_84,order_35,prod_11,4,3744.19,14976.76
item_85,order_36,prod_5,3,727.23,2181.69
item_86,order_36,prod_14,5,6483.97,32419.85
item_87,order_36,prod_6,5,15717.4,78587.0
item_88,order_36,prod_17,4,13807.84,55231.36
item_89,order_37,prod_8,4,2948.54,11794.16
item_90,order_37,prod_3,2,23259.95,46519.9
item_91,order_37,prod_9,4,13671.04,54684.16
item_92,order_38,prod_16,3,11234.52,33703.56
item_93,order_39,prod_11,5,3744.19,18720.95
item_94,order_39,prod_9,1,13671.04,13671.04
item_95,order_39,prod_20,5,20272.95,101364.75
item_96,order_40,prod_16,4,11234.52,44938.08
item_97,order_40,prod_18,4,7910.67,31642.68
item_98,order_40,prod_8,1,2948.54,2948.54
item_99,order_40,prod_21,1,13458.05,13458.05
item_100,order_41,prod_19,5,24603.41,123017.05
item_101,order_41,prod_12,5,9049.72,45248.6
item_102,order_41,prod_16,3,11234.52,33703.56
item_103,order_42,prod_9,1,13671.04,13671.04
item_104,order_42,prod_10,2,12893.18,25786.36
item_105,order_42,prod_21,3,13458.05,40374.15
item_106,order_42,prod_8,1,2948.54,2948.54
item_107,order_43,prod_9,1,13671.04,13671.04
item_108,order_43,prod_19,2,24603.41,49206.82
item_109,order_43,prod_17,3,13807.84,41423.52
item_110,order_43,prod_10,2,12893.18,25786.36
item_111,order_44,prod_9,1,13671.04,13671.04
item_112,order_44,prod_2,5,11701.0,58505.0
item_113,order_45,prod_19,3,24603.41,73810.23
item_114,order_46,prod_2,4,11701.0,46804.0
item_115,order_46,prod_9,1,13671.04,13671.04
item_116,order_47,prod_5,2,727.23,1454.46
item_117,order_48,prod_18,4,7910.67,31642.68
item_118,order_49,prod_15,3,7481.19,22443.57
item_119,order_49,prod_21,5,13458.05,67290.25
item_120,order_49,prod_10,5,12893.18,64465.9
item_121,order_49,prod_14,1,6483.97,6483.97
item_122,order_50,prod_9,2,13671.04,27342.08
item_123,order_50,prod_3,2,23259.95,46519.9
item_124,order_51,prod_14,4,6483.97,25935.88
item_125,order_52,prod_10,4,12893.18,51572.72
item_126,order_52,prod_21,1,13458.05,13458.05
item_127,order_53,prod_14,5,6483.97,32419.85
item_128,order_53,prod_4,2,23424.49,46848.98
item_129,order_54,prod_6,3,15717.4,47152.2
item_130,order_55,prod_15,3,7481.19,22443.57
item_131,order_56,prod_15,3,7481.19,22443.57
item_132,order_56,prod_3,5,23259.95,116299.75
item_133,order_56,prod_2,3,11701.0,35103.0
item_134,order_56,prod_14,1,6483.97,6483.97
item_135,order_57,prod_9,5,13671.04,68355.2
item_136,order_58,prod_9,4,13671.04,54684.16
item_137,order_58,prod_6,1,15717.4,15717.4
item_138,order_58,prod_19,4,24603.41,98413.64
item_139,order_58,prod_14,3,6483.97,19451.91
item_140,order_59,prod_6,3,15717.4,47152.2
item_141,order_60,prod_15,1,7481.19,7481.19
item_142,order_61,prod_17,4,13807.84,55231.36
item_143,order_61,prod_1,1,16313.77,16313.77
item_144,order_61,prod_18,2,7910.67,15821.34
item_145,order_61,prod_15,5,7481.19,37405.95
item_146,order_62,prod_7,3,14292.34,42877.02
item_147,order_63,prod_4,3,23424.49,70273.47
item_148,order_63,prod_1,5,16313.77,81568.85
item_149,order_63,prod_8,1,2948.54,2948.54
item_150,order_63,prod_6,5,15717.4,78587.0
item_151,order_64,prod_4,5,23424.49,117122.45
item_152,order_64,prod_5,3,727.23,2181.69
item_153,order_64,prod_16,4,11234.52,44938.08
item_154,order_64,prod_10,4,12893.18,51572.72
item_155,order_65,prod_13,5,2184.39,10921.95
item_156,order_65,prod_7,5,14292.34,71461.7
item_157,order_66,prod_17,3,13807.84,41423.52
item_158,order_66,prod_9,3,13671.04,41013.12
item_159,order_66,prod_1,5,16313.77,81568.85
item_160,order_67,prod_15,4,7481.19,29924.76
item_161,order_67,prod_18,3,7910.67,23732.01
item_162,order_68,prod_11,2,3744.19,7488.38
item_163,order_68,prod_7,4,14292.34,57169.36
item_164,order_68,prod_8,1,2948.54,2948.54
item_165,order_68,prod_13,3,2184.39,6553.17
item_166,order_69,prod_16,2,11234.52,22469.04
item_167,order_69,prod_2,5,11701.0,58505.0
item_168,order_70,prod_4,2,23424.49,46848.98
item_169,order_70,prod_17,4,13807.84,55231.36
item_170,order_70,prod_15,2,7481.19,14962.38
item_171,order_70,prod_1,1,16313.77,16313.77
item_172,order_71,prod_21,4,13458.05,53832.2
item_173,order_71,prod_3,3,23259.95,69779.85
item_174,order_71,prod_11,4,3744.19,14976.76
item_175,order_71,prod_18,5,7910.67,39553.35
item_176,order_72,prod_8,1,2948.54,2948.54
item_177,order_72,prod_3,1,23259.95,23259.95
item_178,order_72,prod_14,4,6483.97,25935.88
item_179,order_73,prod_2,3,11701.0,35103.0
item_180,order_73,prod_10,4,12893.18,51572.72
item_181,order_73,prod_12,2,9049.72,18099.44
item_182,order_74,prod_6,1,15717.4,15717.4
item_183,order_74,prod_21,5,13458.05,67290.25
item_184,order_75,prod_8,3,2948.54,8845.62
item_185,order_75,prod_15,4,7481.19,29924.76
item_186,order_76,prod_3,3,23259.95,69779.85
item_187,order_76,prod_15,5,7481.19,37405.95
item_188,order_77,prod_15,4,7481.19,29924.76
item_189,order_77,prod_10,4,12893.18,51572.72
item_190,order_77,prod_7,1,14292.34,14292.34
item_191,order_78,prod_10,3,12893.18,38679.54
item_192,order_78,prod_1,1,16313.77,16313.77
item_193,order_78,prod_13,5,2184.39,10921.95
item_194,order_79,prod_8,2,2948.54,5897.08
item_195,order_79,prod_20,2,20272.95,40545.9
item_196,order_79,prod_12,5,9049.72,45248.6
item_197,order_80,prod_21,1,13458.05,13458.05
item_198,order_81,prod_5,3,727.23,2181.69
item_199,order_81,prod_3,4,23259.95,93039.8
item_200,order_81,prod_10,2,12893.18,25786.36
item_201,order_82,prod_6,3,15717.4,47152.2
item_202,order_82,prod_9,3,13671.04,41013.12
item_203,order_82,prod_16,1,11234.52,11234.52
item_204,order_83,prod_18,1,7910.67,7910.67
item_205,order_83,prod_12,3,9049.72,27149.16
item_206,order_83,prod_3,5,23259.95,116299.75
item_207,order_83,prod_13,1,2184.39,2184.39
item_208,order_84,prod_21,4,13458.05,53832.2
