id,customer_id,employee_id,order_date,status,total_amount
order_1,cust_71,emp_28,2020-10-13,Completed,130793.49
order_2,cust_35,emp_28,2025-12-31,Pending,82694.27
order_3,cust_33,emp_2,2021-10-21,Cancelled,110049.38
order_4,cust_55,emp_49,2012-11-21,Cancelled,46519.9
order_5,cust_5,emp_34,2018-07-19,Completed,79716.03
order_6,cust_46,emp_49,2020-04-13,Completed,68766.68
order_7,cust_23,emp_32,2024-10-22,Completed,76540.64
order_8,cust_61,emp_21,2015-08-20,Completed,120440.47
order_9,cust_9,emp_26,2019-09-17,Completed,183062.71
order_10,cust_14,emp_37,2015-08-25,Completed,156614.97
order_11,cust_33,emp_2,2025-08-29,Completed,69039.2
order_12,cust_47,emp_37,2023-07-28,Pending,149813.27
order_13,cust_42,emp_35,2018-07-06,Cancelled,70137.3
order_14,cust_73,emp_28,2019-11-20,Completed,38679.54
order_15,cust_56,emp_54,2025-04-20,Completed,163344.43
order_16,cust_85,emp_7,2022-12-07,Completed,78203.34
order_17,cust_6,emp_21,2026-03-07,Cancelled,29924.76
order_18,cust_25,emp_35,2022-10-24,Pending,162998.61
order_19,cust_7,emp_49,2018-11-23,Pending,14962.38
order_20,cust_68,emp_49,2024-07-09,Completed,186520.87
order_21,cust_61,emp_39,2016-12-21,Completed,121974.41
order_22,cust_36,emp_39,2024-06-13,Completed,80945.01
order_23,cust_20,emp_21,2021-02-10,Completed,150209.16
order_24,cust_70,emp_39,2020-01-04,Pending,57169.36
order_25,cust_75,emp_1,2025-09-19,Cancelled,219907.66
order_26,cust_29,emp_40,2019-02-22,Completed,124894.52
order_27,cust_60,emp_15,2024-06-28,Cancelled,10921.95
order_28,cust_85,emp_1,2021-10-23,Pending,102660.65
order_29,cust_42,emp_32,2020-05-19,Completed,155906.67
order_30,cust_45,emp_21,2024-07-19,Completed,13458.05
order_31,cust_32,emp_19,2026-01-31,Completed,40545.9
order_32,cust_17,emp_40,2023-04-19,Pending,49206.82
order_33,cust_33,emp_34,2022-08-26,Completed,47152.2
order_34,cust_75,emp_1,2022-10-04,Cancelled,164309.7
order_35,cust_6,emp_34,2025-08-27,Completed,93468.07
order_36,cust_56,emp_34,2025-06-18,Pending,168419.9
order_37,cust_56,emp_54,2023-05-28,Cancelled,112998.22
order_38,cust_79,emp_35,2022-09-22,Completed,33703.56
order_39,cust_63,emp_19,2022-06-01,Completed,133756.74
order_40,cust_11,emp_21,2023-06-14,Completed,92987.35
order_41,cust_29,emp_35,2019-09-06,Pending,201969.21
order_42,cust_71,emp_32,2023-07-27,Cancelled,82780.09
order_43,cust_24,emp_19,2021-08-17,Completed,130087.74
order_44,cust_23,emp_28,2022-07-30,Completed,72176.04
order_45,cust_17,emp_40,2010-08-01,Pending,73810.23
order_46,cust_62,emp_39,2023-02-01,Completed,60475.04
